haskell-hls-call-hierarchy-plugin 1.0.0.0-141
haskell-hls-eval-plugin 1.1.2.0-143
haskell-hls-explicit-imports-plugin 1.0.1.0-141
haskell-hls-floskell-plugin 1.0.0.1-141
haskell-hls-fourmolu-plugin 1.0.0.2-146
haskell-hls-graph 1.4.0.0-132
haskell-hls-haddock-comments-plugin 1.0.0.3-141
haskell-hls-hlint-plugin 1.0.1.1-141
haskell-hls-module-name-plugin 1.0.0.1-141
haskell-hls-ormolu-plugin 1.0.1.0-145
haskell-hls-plugin-api 1.2.0.0-107
haskell-hls-pragmas-plugin 1.0.1.0-141
haskell-hls-retrie-plugin 1.0.1.1-141
haskell-hls-stylish-haskell-plugin 1.0.0.2-143
haskell-hourglass 0.2.12-185
haskell-hpack 0.34.5-7
haskell-hscolour 1.24.4-23
haskell-hslogger 1.3.1.0-165
haskell-hslua 2.1.0-5
haskell-hslua-aeson 2.1.0-5
haskell-hslua-classes 2.1.0-5
haskell-hslua-core 2.1.0-5
haskell-hslua-marshalling 2.1.0-5
haskell-hslua-module-path 1.0.1-5
haskell-hslua-module-system 1.0.1-5
haskell-hslua-module-text 1.0.1-5
haskell-hslua-module-version 1.0.1-5
haskell-hslua-objectorientation 2.1.0-5
haskell-hslua-packaging 2.1.0-5
haskell-hsyaml 0.2.1.0-155
haskell-hsyaml-aeson 0.2.0.1-44
haskell-http 4000.4.0-9
haskell-http-api-data 0.4.3-115
haskell-http-client 0.7.11-12
haskell-http-client-tls 0.3.6.1-4
haskell-http-conduit 2.3.8-178
haskell-http-download 0.2.0.0-434
haskell-http-types 0.12.3-225
haskell-implicit-hie 0.1.2.6-82
haskell-implicit-hie-cradle 0.3.0.5-109
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-15
haskell-infer-license 0.2.0-188
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.5.5-25
haskell-iproute 1.7.12-17
haskell-ipynb 0.2-6
haskell-jira-wiki-markup 1.4.0-52
haskell-js-dgtable 0.5.2-13
haskell-js-flot 0.8.3-24
haskell-js-jquery 3.3.1-788
haskell-juicypixels 3.3.7-8
haskell-kan-extensions 5.2.3-56
haskell-language-server 1.3.0.0-164
haskell-lens 5.1-26
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-208
haskell-lift-type 0.1.0.1-4
haskell-lifted-async 0.10.2.2-35
haskell-lifted-base 0.2.3.12-206
haskell-list-t 1.0.5.1-5
haskell-logict 0.7.1.0-126
haskell-lpeg 1.0.2-3
haskell-lsp 1.2.0.1-75
haskell-lsp-test 0.14.0.1-86
haskell-lsp-types 1.3.0.1-65
haskell-lua 2.1.0-3
haskell-lucid 2.11.0-23
haskell-lukko 0.1.1.3-84
haskell-megaparsec 9.2.0-32
haskell-memory 0.17.0-5
haskell-microlens 0.4.12.0-5
haskell-microlens-mtl 0.2.0.1-17
haskell-microlens-th 0.4.3.10-5
haskell-mime-types 0.1.0.9-14
haskell-mintty 0.1.3-2
haskell-mmorph 1.2.0-4
haskell-monad-control 1.0.3.1-41
haskell-monad-dijkstra 0.1.1.3-213
haskell-monad-logger 0.3.36-194
haskell-monad-loops 0.4.3-25
haskell-monadrandom 0.5.3-58
haskell-mono-traversable 1.0.15.3-42
haskell-monoid-subclasses 1.1.3-18
haskell-mustache 2.4.1-4
haskell-neat-interpolation 0.5.1.3-32
haskell-network 3.1.2.7-17
haskell-network-bsd 2.8.1.0-145
haskell-network-info 0.2.1-1
haskell-network-uri 2.6.4.1-74
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
